P5序号,交付件,列源,总列数,可信度,用法,ROI,game_pnl,hold 族,stake 本金,valid_bet 洗码,profit 毛赢,NGR,rebate 退水,agent_cost,Net Margin,residual_b/a,Economic Value,Theo,ADT,NMPT,ESI,effect 处置效应,expected_gain,最大回撤 MDD,夏普 Sharpe,索提诺 Sortino,APUC,Wilcoxon,符号检验,AUC,Wilson 区间,PCA,vip_tier 秩,action_priority,evidence 证据,命中指标族数
29,P01A_crosstab.csv,实测表头,140,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
30,P01B_diff_ratio.csv,实测表头,138,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
31,P01C_split_by_dim.csv,实测表头,141,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
32,P01D_vs_validbet.csv,实测表头,136,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
33,P01E_identity_test.csv,实测表头,135,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
34,P02A_lmc_samples.csv,实测表头,136,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
35,P02B_changestatus_patterns.csv,实测表头,133,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
36,P02C_key_check.csv,实测表头,135,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
37,P02D_events_in_window.csv,实测表头,131,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
38,P0C02_标签口径.csv,实测表头,133,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
39,P0C03_标记次数分布.csv,实测表头,130,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
40,P0C04_同日泄漏检验.csv,实测表头,134,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
41,P0C05_标记时点定位.csv,实测表头,135,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
42,P0C06_LabelB骨架.csv,实测表头,135,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hedge、roi_non_hedge、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hedge、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
43,P0C09_安慰剂检验.csv,实测表头,134,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_hiturn、roi_non_hiturn、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_hiturn、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
44,P11_阿泽尾段投注总帐.csv,实测表头,148,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 4 栏：stake_sum、stake_pct、stake、stake_ramp,✓ 3 栏：validbet_sum、validbet_pct、valid_bet,✓ 1 栏：profit,✓ 4 栏：ngr_by16、ngr_by16_pct、ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
45,P11_阿泽尾段投注模型会员名单.csv,实测表头,136,WRONG_GRAIN,NOT_FOR_DECISION,✓ 10 栏：roi、roi_xagg、roi_late、roi_non_late…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 2 栏：valid_bet、valid_bet_xagg,✓ 2 栏：profit、profit_xagg,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
46,P11_雷欧尾段投注总帐.csv,实测表头,148,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 4 栏：stake_sum、stake_pct、stake、stake_ramp,✓ 3 栏：validbet_sum、validbet_pct、valid_bet,✓ 1 栏：profit,✓ 4 栏：ngr_by16、ngr_by16_pct、ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
47,P12a_platform_daily.csv,实测表头,136,OK,REFERENCE,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 4 栏：hold_pct、hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 4 栏：stake_sum、stake_ramp_day、stake、stake_ramp,✓ 2 栏：validbet_sum、valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
48,P12b_member_events.csv,实测表头,135,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_post、roi_non_post、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
49,P12c_member_daily_pnl.csv,实测表头,133,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_recent、roi_non_recent、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
50,P13_personal_entry.csv,实测表头,134,OK,PRIMARY,✓ 9 栏：roi、roi_late、roi_non_late、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_late、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
51,PH0_8r1_rg_case.csv,实测表头,135,WRONG_GRAIN,NOT_FOR_DECISION,✓ 9 栏：roi、roi_pre_rg、roi_non_pre_rg、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_pre_rg、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
52,PH0_8r2_rg_crosstable.csv,实测表头,132,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_pre_rg、roi_non_pre_rg、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_pre_rg、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
53,PI01_treatment_delta_member.csv,实测表头,148,WRONG_GRAIN,NOT_FOR_DECISION,✓ 11 栏：roi_pre、roi_post、roi、roi_post_xagg…,,✓ 5 栏：hold_pre_pct、hold_post_pct、hold_rate、hold_rate_post…,✓ 4 栏：stake_pre、stake_post、stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,✓ 8 栏：d_pre、d_post、d_stake、d_validbet…,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,15
54,PI02_treatment_delta_platform.csv,实测表头,140,INVALID,NOT_FOR_DECISION,✓ 10 栏：roi、roi_xagg、roi_post、roi_non_post…,,✓ 4 栏：hold_pct、hold_rate、hold_rate_post、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
55,PI03_reinvest_loop.csv,实测表头,140,INVALID,NOT_FOR_DECISION,✓ 9 栏：roi、roi_loss、roi_non_loss、roi_ex_rebate…,,✓ 3 栏：hold_rate、hold_rate_loss、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
56,PI04_member_5d_profile.csv,实测表头,147,OK,PRIMARY,✓ 10 栏：roi、roi_xagg、roi_recent、roi_non_recent…,,✓ 4 栏：hold_pct、hold_rate、hold_rate_recent、hold_ci_halfwidth_approx,✓ 2 栏：stake、stake_ramp,✓ 1 栏：valid_bet,✓ 1 栏：profit,✓ 2 栏：ngr、ngr_rate,✓ 3 栏：rebate_cost、rebate_rate_actual、rebate_pct_config,✓ 17 栏：agent_cost_lv1、agent_cost_lv2、agent_cost_lv3、agent_cost_lv4…,✓ 8 栏：net_margin_bet23_formal_canonical、net_margin_bet23_formal_rate_canonical、net_margin_lv1_bet23_canonical、net_margin_lv1_bet23_rate_canonical…,✓ 6 栏：residual_chain_additive、residual_chain_nested、residual_b、residual_a…,✓ 1 栏：economic_value,,,,,,,,,,,,,,,,✓ 1 栏：vip_tier,✓ 1 栏：action_priority,✓ 2 栏：evidence_flag、evidence_rate,14
