"数据表","列序","列名","行业正名","语义","单位","粒度","方向","本次读入","非空率","不同值数","实测极值","在本报告的用途"
"I_ip_player",13,"game_pnl_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","139,868","-4,016,417.77 ~ 2,362,896.50","—"
"I_ip_player",14,"ip_order_share","该 IP 注单占比","该 IP 注单 ÷ 该会员全部注单","比率 0–1","会员×IP","越大越是主场","✅ 已读入","100.0%","304,220","0.00 ~ 1.00","分辨「主力在此 IP」与「偶尔路过」"
"I_ip_agg",1,"window_id","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：W1）","—"
"I_ip_agg",2,"bet_ip","下注 IP","注单侧 IP，**与登录日志的网关 IP 不同**","无","IP","身份","✅ 已读入","100.0%","8,660","文本／类别（示例：103.247.21.211、103.175.241.32、104.28.166.51）","对打对的共处位置"
"I_ip_agg",3,"n_member_raw","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","130","5.00 ~ 373.00","—"
"I_ip_agg",4,"n_member_eff","该 IP 有效关联会员数","达到有效关联标准的会员数","人","IP","越大越可疑","✅ 已读入","100.0%","39","5.00 ~ 84.00","异常 IP 之聚集度主判据"
"I_ip_agg",5,"n_prof_A","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","22","0.00 ~ 41.00","—"
"I_ip_agg",6,"n_prof_B","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","28","0.00 ~ 40.00","—"
"I_ip_agg",7,"n_prof_C","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","27","0.00 ~ 40.00","—"
"I_ip_agg",8,"n_orders","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","2,244","187.00 ~ 393,589.00","—"
"I_ip_agg",9,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,865","71.00 ~ 393,585.00","—"
"I_ip_agg",10,"stake","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","8,660","167.45 ~ 46,719,210.85","—"
"I_ip_agg",11,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","8,657","-1,250,842.79 ~ 198,212.86","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"I_ip_agg",12,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","8,657","-1,250,842.79 ~ 198,212.86","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"I_ip_agg",13,"share_p50","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","7,676","0.00 ~ 1.00","—"
"I_ip_agg",14,"share_p90","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,054","0.00 ~ 1.00","—"
"C01_ip_chain",1,"bet_ip","下注 IP","注单侧 IP，**与登录日志的网关 IP 不同**","无","IP","身份","✅ 已读入","100.0%","6,752","文本／类别（示例：138.84.109.251、14.166.116.151、120.29.76.12）","对打对的共处位置"
"C01_ip_chain",2,"n_member","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","140","20.00 ~ 2,132.00","—"
"C01_ip_chain",3,"n_lv3_chain","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","23","1.00 ~ 23.00","—"
"C01_ip_chain",4,"member_per_chain","单链会员密度","一条代理线在该 IP 下塞了几个会员","人","IP","越大越可疑","✅ 已读入","100.0%","627","1.54 ~ 2,132.00","AX-A5：IP 结构风险维之原始量"
"C01_ip_chain",5,"n_orders","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,859","22.00 ~ 39,632.00","—"
"C01_ip_chain",6,"stake","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,752","16.27 ~ 8,112,685.54","—"
"C01_ip_chain",7,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","6,752","-259,945.75 ~ 144,212.89","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"C01_ip_chain",8,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","6,752","-259,592.48 ~ 144,978.79","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"C08_subnet_sparse",1,"subnet_24","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","38,733","文本／类别（示例：138.84.109.0/24、104.28.166.0/24、104.28.158.0/24）","—"
"C08_subnet_sparse",2,"n_ip","IP 数","该会员在窗口内用过的下注 IP 个数","个","会员","越大越可疑","✅ 已读入","100.0%","30","1.00 ~ 30.00","规避能力（EVA）之代理量"
"C08_subnet_sparse",3,"n_member","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","130","5.00 ~ 2,145.00","—"
"C08_subnet_sparse",4,"n_lv3_chain","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","29","1.00 ~ 37.00","—"
"C08_subnet_sparse",5,"member_per_ip","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","851","0.17 ~ 536.25","—"
"C08_subnet_sparse",6,"n_orders","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","3,467","5.00 ~ 393,589.00","—"
"C08_subnet_sparse",7,"valid_bet","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","38,629","10.50 ~ 42,411,586.23","—"
"C08_subnet_sparse",8,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","38,697","-1,250,842.79 ~ 964,348.45","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"S_player_tail",1,"member_id","会员编号","平台唯一玩家标识（对 bet02.bet05）","无","会员","身份","✅ 已读入","100.0%","159,603","207,244.00 ~ 153,923,366.00","三实体一切经济核算的连接键"
"S_player_tail",2,"n_rounds_all","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,910","30.00 ~ 464,679.00","—"
"S_player_tail",3,"n_rounds_tail","尾段有效局数","该会员的尾段有效局数","局","会员","越大越可信","✅ 已读入","100.0%","2,797","0.00 ~ 23,417.00","尾段胜率之样本量门槛"
"S_player_tail",4,"tail_share","尾段注单占比","尾段注单 ÷ 全部注单","比率 0–1","会员","—","✅ 已读入","100.0%","39,837","0.00 ~ 1.00","尾秒族主参数（画像）"
"S_player_tail",5,"tail_win","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,751","0.00 ~ 10,795.00","—"
"S_player_tail",6,"tail_lose","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1,765","0.00 ~ 11,175.00","—"
"S_player_tail",7,"tail_winrate","尾段胜率","尾段投注的胜率","比率 0–1","会员","—","✅ 已读入","97.3%","11,746","0.00 ~ 1.00","与同产品基准并读方有意义"
"S_player_tail",8,"norm_winrate","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","25,159","0.00 ~ 1.00","—"
"S_player_tail",9,"winrate_diff","胜率差","该会员胜率 − 同投注产品基准胜率","百分点","会员","—","✅ 已读入","97.3%","79,949","-0.81 ~ 0.96","**须与 Lift 并看**，低基准产品上绝对差会失真"
"S_player_tail",10,"tail_stake","尾段投注额","尾段投注金额合计","货币","会员","—","✅ 已读入","100.0%","114,717","0.00 ~ 51,500,179.66","尾秒族营业额口径"
"S_player_tail",11,"tail_valid_bet","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","113,026","0.00 ~ 46,333,817.47","—"
"S_player_tail",12,"tail_game_pnl","尾段游戏输赢","尾段的纯游戏输赢","货币","会员","—","✅ 已读入","100.0%","121,579","-1,701,512.46 ~ 1,383,083.39","尾秒族盈亏口径"
"S_player_tail",13,"tail_rebate","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","5,339","0.00 ~ 370,670.54","—"
"S_player_tail",14,"tail_net_pnl","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","122,512","-1,701,512.46 ~ 1,383,083.39","—"
"S_player_tail",15,"tail_roi","尾段 ROI","尾段投注的回报率（剔退水）","比率","会员","—","✅ 已读入","97.3%","121,793","-2.29 ~ 11.00","**E1 已裁定其优势未能证实**"
"S_player_tail",16,"norm_game_pnl","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","146,032","-2,190,029.55 ~ 2,272,178.50","—"
"S_player_tail",17,"norm_roi","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","154,057","-109.40 ~ 3.15","—"
"S_player_tail",18,"tail_profit_share","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","99.9%","142,205","0.00 ~ 1.00","—"
"T03_arbitrage",1,"member_id","会员编号","平台唯一玩家标识（对 bet02.bet05）","无","会员","身份","✅ 已读入","100.0%","80,631","207,244.00 ~ 153,922,283.00","三实体一切经济核算的连接键"
"T03_arbitrage",2,"stake","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","77,964","30.87 ~ 113,094,762.00","—"
"T03_arbitrage",3,"validbet","有效投注（洗码量）","该会员当日的有效投注额，**不是流水**","货币","会员×日","越大规模越大","✅ 已读入","100.0%","78,017","0.00 ~ 101,787,084.70","营业额口径的唯一基数"
"T03_arbitrage",4,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","79,015","-4,016,417.77 ~ 2,362,896.50","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"T03_arbitrage",5,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","79,015","-4,016,417.77 ~ 2,362,896.50","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"T03_arbitrage",6,"rebate","退水金额","该会员获得的退水合计","货币","会员","越大成本越高","✅ 已读入","100.0%","3,028","0.00 ~ 794,419.86","T3 打水型：漏损直接来源"
"T03_arbitrage",7,"hedge_rate","对打率","与固定搭档反向下注的注单占比","比率 0–1","会员","越大越可疑","✅ 已读入","100.0%","11,817","0.00 ~ 1.00","对打指数维；真实流水之折减因子"
"T03_arbitrage",8,"stake_cv","注额变异系数","注额标准差 ÷ 注额均值","比率","会员","越大越不稳","✅ 已读入","100.0%","78,952","0.00 ~ 18.09","注额突变的过程指标"
"T03_arbitrage",9,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","6,928","100.00 ~ 484,046.00","—"
"T03_arbitrage",10,"n_days","出勤天数","该会员在窗口内有下注的营业日数","天","会员","越大越活跃","✅ 已读入","100.0%","139","1.00 ~ 139.00","活跃稳定维之分子"
"E02_segment_econ",1,"segment","客户分层","经济账的分层键","无","分层","—","✅ 已读入","100.0%","59","文本／类别（示例：实测退水0.000 · 流水Q4、实测退水4.400 · 流水Q4、实测退水1.800 · 流水Q4）","分层经济账之主键"
"E02_segment_econ",2,"n_member","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","45","1.00 ~ 174,688.00","—"
"E02_segment_econ",3,"validbet","有效投注（洗码量）","该会员当日的有效投注额，**不是流水**","货币","会员×日","越大规模越大","✅ 已读入","100.0%","59","5.57 ~ 32,722,574,953.16","营业额口径的唯一基数"
"E02_segment_econ",4,"ggr","GGR（赌场毛利）","客人游戏输赢取负号汇总，**不是营业额**","货币","分层","越大越好","✅ 已读入","100.0%","59","-394,053.20 ~ 588,083,646.48","毛利口径（**该件绝对额与 bet02 差 5.24 倍，只可取比率**）"
"E02_segment_econ",5,"rebate","退水金额","该会员获得的退水合计","货币","会员","越大成本越高","✅ 已读入","100.0%","56","0.00 ~ 8,131,497,798.06","T3 打水型：漏损直接来源"
"E02_segment_econ",6,"commission","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","59","26.34 ~ 148,780,405,097.85","—"
"E02_segment_econ",7,"comm_scale","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：rate_percent）","—"
"E02_segment_econ",8,"reb_scale","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","文本／类别（示例：rate_decimal）","—"
"E02_segment_econ",9,"tenure_months","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","43","1.00 ~ 4.00","—"
"S01_player_score",1,"member_id","会员编号","平台唯一玩家标识（对 bet02.bet05）","无","会员","身份","✅ 已读入","100.0%","161,156","207,244.00 ~ 153,923,366.00","三实体一切经济核算的连接键"
"S01_player_score",2,"流水贡献","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","145,018","0.00 ~ 101,787,084.70","—"
"S01_player_score",3,"游戏输赢贡献","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","148,432","-2,362,896.50 ~ 4,016,417.77","—"
"S01_player_score",4,"活跃稳定","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","139","1.00 ~ 139.00","—"
"S01_player_score",5,"退水支出","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","5,769","0.00 ~ 794,419.86","—"
"S01_player_score",6,"n_ip","IP 数","该会员在窗口内用过的下注 IP 个数","个","会员","越大越可疑","✅ 已读入","100.0%","434","1.00 ~ 1,073.00","规避能力（EVA）之代理量"
"S01_player_score",7,"n_chain","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","1","1.00 ~ 1.00","—"
"S01_player_score",8,"人工标记史","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","34","0.00 ~ 99.00","—"
"S01_player_score",9,"投注产品结构熵","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","149,539","0.00 ~ 2.52","—"
"S01_player_score",10,"索提诺稳定性","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","89.7%","127,159","-1.00 ~ 945,787,000,000.00","—"
"S01_player_score",11,"生命周期阶段","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","8,557","0.01 ~ 139.00","—"
"S02_dealer_score",1,"dealer_id","荷官工号","荷官身份键（对 bet02.eid）；**字符型，不得数值化**","无","荷官","身份","✅ 已读入","100.0%","299","462.00 ~ 2,290.00","荷官侧一切归因之主键"
"S02_dealer_score",2,"在桌洗码量","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","298","0.00 ~ 103,184,568.57","—"
"S02_dealer_score",3,"客群广度","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","297","1.00 ~ 70,777.00","—"
"S02_dealer_score",4,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","289","1.00 ~ 48,376.00","—"
"S02_dealer_score",5,"n_tables","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","9","1.00 ~ 9.00","—"
"S02_dealer_score",6,"桌面输赢","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","298","-3,082,085.41 ~ 509,062.13","—"
"S02_dealer_score",7,"当值时长","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","289","1.00 ~ 48,376.00","—"
"S02_dealer_score",8,"节奏稳定度","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","299","0.05 ~ 0.16","—"
"S02_dealer_score",9,"特定玩家复现率","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","292","0.04 ~ 1.00","—"
"S03_agent_score",1,"lv3","三级代理线","该会员所属 LV3 代理线","无","代理线","身份","✅ 已读入","100.0%","455","0.00 ~ 57,090.00","**代理侧一切归因之主键**"
"S03_agent_score",2,"线下规模","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","229","1.00 ~ 152,431.00","—"
"S03_agent_score",3,"真实流水","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","454","0.00 ~ 1,602,014,197.82","—"
"S03_agent_score",4,"退水支出","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","32","0.00 ~ 2,405,120.77","—"
"S03_agent_score",5,"链下游戏输赢","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","455","-29,068,874.04 ~ 808,467.65","—"
"S03_agent_score",6,"退水消耗比","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","99.8%","32","-0.17 ~ 5.49","—"
"S03_agent_score",7,"下线留存","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","90.3%","240","0.00 ~ 1.00","—"
"S03_agent_score",8,"新增会员质量","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","93.6%","426","-32,074.08 ~ 352,773.95","—"
"S03_agent_score",9,"新增会员数","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","93.6%","220","1.00 ~ 100,025.00","—"
"P_player_month",1,"member_id","会员编号","平台唯一玩家标识（对 bet02.bet05）","无","会员","身份","✅ 已读入","100.0%","148,547","207,244.00 ~ 153,923,366.00","三实体一切经济核算的连接键"
"P_player_month",2,"ym","年月","月粒度键","年月","会员×月","时间","✅ 已读入","100.0%","6","20,513.00 ~ 20,666.00","下线留存与新客质量之时间轴"
"P_player_month",3,"n_rounds","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","5,697","30.00 ~ 225,879.00","—"
"P_player_month",4,"n_days","出勤天数","该会员在窗口内有下注的营业日数","天","会员","越大越活跃","✅ 已读入","100.0%","31","1.00 ~ 31.00","活跃稳定维之分子"
"P_player_month",5,"valid_bet","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","203,467","0.00 ~ 63,843,972.35","—"
"P_player_month",6,"game_pnl","游戏输赢（剔退水）","纯游戏口径：派彩 − 本金","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","214,607","-2,474,257.45 ~ 2,578,966.00","GGR 之来源；平台毛利 ＝ −Σgame_pnl"
"P_player_month",7,"rebate","退水金额","该会员获得的退水合计","货币","会员","越大成本越高","✅ 已读入","100.0%","9,631","0.00 ~ 232,458.47","T3 打水型：漏损直接来源"
"P_player_month",8,"net_pnl","会员净输赢（含退水）","账户口径：游戏输赢 ＋ 退水","货币","会员×日","会员为正即平台亏","✅ 已读入","100.0%","216,082","-2,474,257.45 ~ 2,578,966.00","NGR₂ 之来源；平台净贡献 ＝ −Σnet_pnl"
"P_player_month",9,"roi","⚠️ 词典未覆盖","⚠️ 本报告字典未登记此列——须补登记后方可用于计算","—","—","—","✅ 已读入","100.0%","239,163","-113.41 ~ 2.45","—"
