交付件,锚行,谓词行号,涉闸(层),真代码区谓词原文
P0C06_LabelB骨架.csv,7002,7011,dt(Window),AND dt < '2026-08-07'
P0C06_LabelB骨架.csv,7002,7013,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P0C06_LabelB骨架.csv,7002,7020,dt(Window),WHERE b.dt >= '2026-04-20'
P0C06_LabelB骨架.csv,7002,7021,dt(Window),AND b.dt < '2026-07-24'
P0C06_LabelB骨架.csv,7002,7022,bet02(Identity),AND CAST(b.bet02 AS STRING) = '101'
P0C09_安慰剂检验.csv,7121,7134,dt(Window),WHERE dt >= '2026-03-21'
P0C09_安慰剂检验.csv,7121,7135,dt(Window),AND dt < '2026-08-07'
P0C09_安慰剂检验.csv,7121,7137,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P0C09_安慰剂检验.csv,7121,7146,dt(Window),WHERE b.dt >= '2026-03-21'
P0C09_安慰剂检验.csv,7121,7147,dt(Window),AND b.dt < '2026-08-07'
P0C09_安慰剂检验.csv,7121,7148,bet02(Identity),AND CAST(b.bet02 AS STRING) = '101'
C06d_hedge_pairs_dated.csv,7192,7204,age022(Population),FROM ods_mariadb_2b.ods_a168_agent WHERE age022 = '1'
C06d_hedge_pairs_dated.csv,7192,7216,bet02(Identity)、dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07' AND b.bet02 = '101'
C06d_hedge_pairs_dated.csv,7192,7226,bet38(State)、category(Population)、rn(Identity),WHERE r.rn = 1 AND r.category = '1' AND UPPER(TRIM(r.bet38)) = 'N'
C06d_hedge_pairs_dated.csv,7192,7227,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
C06d_hedge_pairs_dated.csv,7192,7228,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
C06d_hedge_pairs_dated.csv,7192,7229,bet08(Quality),"AND NULLIF(TRIM(r.bet08),'') IS NOT NULL"
TL08_treatment_events.csv,7671,7686,dt(Window),WHERE dt >= '2026-03-21'
TL08_treatment_events.csv,7671,7687,dt(Window),AND dt < '2026-08-07'
TL08_treatment_events.csv,7671,7692,dt(Window),WHERE dt >= '2026-03-21'
TL08_treatment_events.csv,7671,7693,dt(Window),AND dt < '2026-08-07'
TL08_treatment_events.csv,7671,7694,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
TL10_treatment_ledger.csv,7745,7759,dt(Window),WHERE dt >= '2026-03-21'
TL10_treatment_ledger.csv,7745,7760,dt(Window),AND dt < '2026-08-07'
TL10_treatment_ledger.csv,7745,7794,dt(Window),WHERE dt >= '2026-03-21'
TL10_treatment_ledger.csv,7745,7795,dt(Window),AND dt < '2026-08-07'
TL10_treatment_ledger.csv,7745,7796,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
TL11_treatment_episode.csv,7834,7849,dt(Window),WHERE dt >= '2026-03-21'
TL11_treatment_episode.csv,7834,7850,dt(Window),AND dt < '2026-08-07'
TL11_treatment_episode.csv,7834,7896,rn(Identity),SELECT * FROM dedup WHERE rn = 1 AND direction = 'TIGHTEN'
TL11_treatment_episode.csv,7834,7899,rn(Identity),SELECT * FROM dedup WHERE rn = 1 AND direction = 'RELEASE'
TL11_treatment_episode.csv,7834,7904,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL11_treatment_episode.csv,7834,7905,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
TL11_treatment_episode.csv,7834,7912,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL11c_population_reconcile.csv,8103,8107,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL11c_population_reconcile.csv,8103,8126,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
TL11c_population_reconcile.csv,8103,8127,bet02(Identity),AND CAST(bet02 AS STRING) = '101'
P01A_crosstab.csv,8322,8353,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P01B_diff_ratio.csv,8357,8373,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P01C_split_by_dim.csv,8379,8400,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P01D_vs_validbet.csv,8408,8423,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P01E_identity_test.csv,8429,8444,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P01E_identity_test.csv,8429,8462,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P02C_key_check.csv,8517,8533,bet02(Identity)、dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07' AND bet02 = '101'
P11_阿泽尾段投注模型会员名单.csv,8567,8581,age022(Population),WHERE age022 = '1'
P11_阿泽尾段投注模型会员名单.csv,8567,8591,bet02(Identity),WHERE b.bet02 = '101'
P11_阿泽尾段投注模型会员名单.csv,8567,8592,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P11_阿泽尾段投注模型会员名单.csv,8567,8602,rn(Identity),WHERE r.rn = 1
P11_阿泽尾段投注模型会员名单.csv,8567,8603,category(Population),AND r.category = '1'
P11_阿泽尾段投注模型会员名单.csv,8567,8604,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P11_阿泽尾段投注模型会员名单.csv,8567,8612,bet04(Quality),"SUM(CASE WHEN CAST(bet04 AS INT) >= 40 THEN 1 ELSE 0 END) AS late_orders,"
P11_阿泽尾段投注模型会员名单.csv,8567,8621,bet04(Quality),AND bet04 IS NOT NULL
P11_阿泽尾段投注模型会员名单.csv,8567,8622,bet05(Quality),AND bet05 IS NOT NULL
P11_阿泽尾段投注总帐.csv,8652,8657,age022(Population),WHERE age022 = '1'
P11_阿泽尾段投注总帐.csv,8652,8667,bet02(Identity),WHERE b.bet02 = '101'
P11_阿泽尾段投注总帐.csv,8652,8668,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P11_阿泽尾段投注总帐.csv,8652,8680,rn(Identity),WHERE r.rn = 1
P11_阿泽尾段投注总帐.csv,8652,8681,category(Population),AND r.category = '1'
P11_阿泽尾段投注总帐.csv,8652,8682,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P11_阿泽尾段投注总帐.csv,8652,8702,bet04(Quality),AND bet04 IS NOT NULL
P11_阿泽尾段投注总帐.csv,8652,8703,bet05(Quality),AND bet05 IS NOT NULL
P11_阿泽尾段投注总帐.csv,8652,8743,bet05(Quality),"WHERE CAST(NULLIF(TRIM(bet05), '') AS BIGINT) > 0"
P11_阿泽尾段投注总帐.csv,8652,8744,bet11(Quality),"AND CAST(NULLIF(TRIM(bet11), '') AS DECIMAL(20,8)) > 0"
P11_阿泽尾段投注总帐.csv,8652,8745,bet04(Quality),"AND CAST(NULLIF(TRIM(bet04), '') AS INT) > 0"
P11_阿泽尾段投注总帐.csv,8652,8746,bet08(Quality),"AND NULLIF(TRIM(bet08), '') IS NOT NULL"
P11_雷欧尾段投注总帐.csv,8799,8805,age022(Population),WHERE age022 = '1'
P11_雷欧尾段投注总帐.csv,8799,8815,dt(Window),WHERE b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P11_雷欧尾段投注总帐.csv,8799,8816,bet02(Identity),AND b.bet02 = '101'
P11_雷欧尾段投注总帐.csv,8799,8839,rn(Identity),WHERE r.rn = 1
P11_雷欧尾段投注总帐.csv,8799,8840,category(Population),AND r.category = '1'
P11_雷欧尾段投注总帐.csv,8799,8841,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P11_雷欧尾段投注总帐.csv,8799,8842,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
P11_雷欧尾段投注总帐.csv,8799,8843,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
P11_雷欧尾段投注总帐.csv,8799,8844,bet04(Quality),"AND CAST(NULLIF(TRIM(r.bet04),'') AS INT) > 0"
P12a_platform_daily.csv,8938,8946,age022(Population),WHERE age022 = '1'
P12a_platform_daily.csv,8938,8956,bet02(Identity),WHERE b.bet02 = '101'
P12a_platform_daily.csv,8938,8957,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P12a_platform_daily.csv,8938,8967,rn(Identity),WHERE r.rn = 1
P12a_platform_daily.csv,8938,8968,category(Population),AND r.category = '1'
P12a_platform_daily.csv,8938,8969,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P12a_platform_daily.csv,8938,8972,bet04(Quality)、bet05(Quality),AND r.bet03 IS NOT NULL AND r.bet04 IS NOT NULL AND r.bet05 IS NOT NULL
P12b_member_events.csv,9012,9023,age022(Population),WHERE age022 = '1'
P12b_member_events.csv,9012,9032,bet02(Identity),WHERE b.bet02 = '101'
P12b_member_events.csv,9012,9033,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P12b_member_events.csv,9012,9043,rn(Identity),WHERE r.rn = 1
P12b_member_events.csv,9012,9044,category(Population),AND r.category = '1'
P12b_member_events.csv,9012,9045,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P12b_member_events.csv,9012,9048,bet05(Quality),AND r.bet05 IS NOT NULL
P12b_member_events.csv,9012,9063,dt(Window),WHERE dt >= '2026-03-21' AND dt < '2026-08-07'
P12c_member_daily_pnl.csv,9080,9092,age022(Population),WHERE age022 = '1'
P12c_member_daily_pnl.csv,9080,9102,bet02(Identity),WHERE b.bet02 = '101'
P12c_member_daily_pnl.csv,9080,9103,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P12c_member_daily_pnl.csv,9080,9119,rn(Identity),WHERE r.rn = 1
P12c_member_daily_pnl.csv,9080,9120,category(Population),AND r.category = '1'
P12c_member_daily_pnl.csv,9080,9121,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P12c_member_daily_pnl.csv,9080,9124,bet05(Quality),AND r.bet05 IS NOT NULL
R01_late_shoe_w2.csv,9170,9174,age022(Population),WHERE age022 = '1'
R01_late_shoe_w2.csv,9170,9185,dt(Window),WHERE b.dt >= '2026-08-07' AND b.dt < '2026-08-20'
R01_late_shoe_w2.csv,9170,9186,bet02(Identity),AND b.bet02 = '101'
R01_late_shoe_w2.csv,9170,9202,rn(Identity),WHERE r.rn = 1
R01_late_shoe_w2.csv,9170,9203,category(Population),AND r.category = '1'
R01_late_shoe_w2.csv,9170,9204,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
R01_late_shoe_w2.csv,9170,9205,bet05(Quality),"AND CAST(NULLIF(TRIM(r.bet05),'') AS BIGINT) > 0"
R01_late_shoe_w2.csv,9170,9206,bet11(Quality),"AND CAST(NULLIF(TRIM(r.bet11),'') AS DECIMAL(20,8)) > 0"
R01_late_shoe_w2.csv,9170,9207,bet04(Quality),"AND CAST(NULLIF(TRIM(r.bet04),'') AS INT) > 0"
P13_personal_entry.csv,9265,9271,age022(Population),WHERE age022 = '1'
P13_personal_entry.csv,9265,9281,bet02(Identity),WHERE b.bet02 = '101'
P13_personal_entry.csv,9265,9282,dt(Window),AND b.dt >= '2026-03-21' AND b.dt < '2026-08-07'
P13_personal_entry.csv,9265,9292,rn(Identity),WHERE r.rn = 1
P13_personal_entry.csv,9265,9293,category(Population),AND r.category = '1'
P13_personal_entry.csv,9265,9294,bet38(State),AND UPPER(TRIM(r.bet38)) = 'N'
P13_personal_entry.csv,9265,9297,bet04(Quality)、bet05(Quality),AND r.bet03 IS NOT NULL AND r.bet04 IS NOT NULL AND r.bet05 IS NOT NULL
