表,指标栏,零点,形态,可建阶梯,说明,族
DICT_01a_bet41_tri.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01a_bet41_tri.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01a_bet41_tri.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01a_bet41_tri.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01a_bet41_tri.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01a_bet41_tri.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01a_bet41_tri.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01a_bet41_tri.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01a_bet41_tri.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
DICT_01a_bet41_tri.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
DICT_01b_roundkey_card.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
DICT_01b_roundkey_card.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01b_roundkey_card.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01b_roundkey_card.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01b_roundkey_card.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01b_roundkey_card.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01b_roundkey_card.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
DICT_01b_roundkey_card.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
DICT_01c_dimension.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
DICT_01c_dimension.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DICT_01c_dimension.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01c_dimension.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01c_dimension.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DICT_01c_dimension.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DICT_01c_dimension.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
DICT_01c_dimension.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
DICT_01d_bet_latency.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
DICT_01d_bet_latency.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DICT_01d_bet_latency.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DICT_01d_bet_latency.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DICT_01d_bet_latency.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DICT_01d_bet_latency.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DICT_01d_bet_latency.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
DICT_01d_bet_latency.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
DX04_bet09_profile.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
DX04_bet09_profile.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
DX04_bet09_profile.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DX04_bet09_profile.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DX04_bet09_profile.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DX04_bet09_profile.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
DX04_bet09_profile.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
DX04_bet09_profile.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
DX05_product_panorama.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
DX05_product_panorama.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
DX05_product_panorama.csv,ggr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
DX05_product_panorama.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DX05_product_panorama.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DX05_product_panorama.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
DX05_product_panorama.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
DX05_product_panorama.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
DX05_product_panorama.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
E02_segment_econ.csv,roi,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,ROI
E02_segment_econ.csv,net_margin_bet23_formal_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_bet23_formal_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_lv1_bet23_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_lv1_bet23_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_chain_additive_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_chain_nested_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_chain_additive_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,net_margin_chain_nested_rate_canonical,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,NetMargin
E02_segment_econ.csv,ggr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
E02_segment_econ.csv,profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
E02_segment_econ.csv,ngr,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
E02_segment_econ.csv,p50_profit,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,盈亏
E02_segment_econ.csv,residual_chain_additive,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,residual_chain_nested,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,residual_b,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,residual_a,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,residual_b_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,residual_a_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,残差
E02_segment_econ.csv,hold_rate,0,★ 广播（平台常数）,✗,⛔ 广播栏：阶梯每级同值，建之即作秀,hold
E02_segment_econ.csv,economic_value,,★ 广播（平台常数）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
EV01_disposal_events.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
EV01_disposal_events.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV01_disposal_events.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV01_disposal_events.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV01_disposal_events.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV01_disposal_events.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV01_disposal_events.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
EV01_disposal_events.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
EV02_member_disposal.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
EV02_member_disposal.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
EV02_member_disposal.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV02_member_disposal.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV02_member_disposal.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
EV02_member_disposal.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
EV02_member_disposal.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
EV02_member_disposal.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
I_ip_agg.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
I_ip_agg.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_agg.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_agg.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_agg.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_agg.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_agg.csv,hold_rate,0,原生（逐行）,✓,hold 率：0 即无抽水；⛔ 经济参照点本应为理论庄家优势，然 house_edge 全 NULL（F-22~25 阻断），暂以 0 代之并标明,hold
I_ip_agg.csv,economic_value,,原生（逐行）,✗,"⛔ 拒算：系 PERCENT_RANK 之秩，值域 [0,1] 恒非负；零点切分无意义（承永久禁令 13）",EconValue(拒算)
I_ip_player.csv,roi,0,原生（逐行）,✓,ROI：0 即不赚不赔,ROI
I_ip_player.csv,net_margin_bet23_formal_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_bet23_formal_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_lv1_bet23_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_lv1_bet23_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_chain_additive_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_chain_nested_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_chain_additive_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,net_margin_chain_nested_rate_canonical,0,原生（逐行）,✓,净利：0 即打平,NetMargin
I_ip_player.csv,profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_player.csv,ngr,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_player.csv,p50_profit,0,原生（逐行）,✓,盈亏：0 即打平（平台视角）,盈亏
I_ip_player.csv,residual_chain_additive,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_player.csv,residual_chain_nested,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_player.csv,residual_b,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_player.csv,residual_a,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_player.csv,residual_b_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
I_ip_player.csv,residual_a_rate,0,原生（逐行）,✓,残差：0 即恒等式成立,残差
