序号,CSV名称,实体,net_margin,risk_usage,声明分区,实际谓词,六层段列数,逾基准列数,源维度(原列),建议层
92,TL08_treatment_events.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,ev.member_id|ev.action_date|ev.action_time|ev.action_class|ev.operator_id|ev.operator_lv|ev.content|ev.raw_sql|is_baccarat_member,III 先修粒度
93,TL09_member_schema.csv,会员,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,ORDINAL_POSITION|COLUMN_NAME|DATA_TYPE|COLUMN_COMMENT,III 先修粒度
94,TL10_treatment_ledger.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,p.member_id|p.action_date|p.action_time|p.action_class|p.field_name|p.value_before|p.value_after|p.operator_id|p.operator_lv|is_baccarat_member,III 先修粒度
95,TL11_treatment_episode.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,p.member_id|p.field_name|p.business_field|p.enforcement_type|is_baccarat_member|episode_id|start_date|start_time|p.value_before|p.value_after|start_operator|start_operator_lv|p.parse_sep|p.parse_status|release_date|censored|la.last_bet_date|la.n_bets_in_window|lc.last_config_time|days_since_last_bet|censor_cutoff_days|censor_reason|duration_days|episode_seq,III 先修粒度
96,TL11c_population_reconcile.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,lvl|level_name|n_all|n_baccarat|n_member_all|n_member_bac|definition,III 先修粒度
97,TL14_limit_treatment.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,l.member_id|l.action_date|l.action_time|l.operator_id|l.operator_lv|l.grp_before|l.grp_after|b.max_hi_before|f.max_hi_after|b.n_grp_before|f.n_grp_after|direction|has_zero_group|is_baccarat_member|filter_rule_version,III 先修粒度
98,T_table_span.csv,桌台,OK,SUPPORT,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_id|n_rounds|mean_sec|p50|p90|p99,I 可采
99,VB_00_validbet_contract.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,scope|n_rows|n_vb_null|n_vb_blank|n_vb_zero|n_vb_pos|n_vb_neg|null_rate_pct|n_fallback_also_null|vb_sum|b13_sum|b41_sum|verdict_contract,III 先修粒度
100,VB_00b_zero_five_rates.csv,会员,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,scope|n_base_rows|n_active_member|n_zero_rows|n_zero_member|zero_record_rate_pct|zero_amount_rate_pct|zero_member_rate_pct|zero_profit_rate_pct|zero_active_rate_pct|zero_stake_sum|zero_ggr_sum|all_stake_sum|all_ggr_sum|zero_mu0_pct|base_mu0_pct|n_zero_both|verdict_zero,III 先修粒度
101,VB_41_identity_global.csv,风控专员,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,test|n_rows|n_both_null|n_null_asym|n_exact_equal|n_value_diff|pct_exact_equal|max_abs_diff|sum_abs_diff|d_min|d_p01|d_p05|d_p50|d_p95|d_p99|d_max|verdict_identity,III 先修粒度
102,VB_41b_identity_strata.csv,产品,WRONG_GRAIN,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,bet09_value|commission_value|n_rows|n_both_null|n_null_asym|n_value_diff|max_abs_diff|b41_sum|vb_sum|verdict_stratum,III 先修粒度
103,VB_41b_identity_strata_v18b.csv,风控专员,WRONG_GRAIN,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,bet09_value|commission_value|n_rows|n_both_null|n_null_asym|n_value_diff|pct_value_diff|max_abs_diff|d_min|d_max|sum_abs_diff|n_both_zero|n_b41_zero_vb_pos|n_b41_pos_vb_zero|d_sign_uniform|b41_sum|vb_sum|verdict_stratum,III 先修粒度
104,VB_41c1_964_detail.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,grp|bet01|member_id|dt|bet_time|table_id|shoe_id|bet09|commission|category|rebet_flag|agent_lv1|stake_raw|fx_rate|payout_raw|rebate_raw|net_raw|bet41|validbet|diff_vb_minus_b41|updatetime|sync_time,III 先修粒度
105,VB_41c2_concentration.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,grp|n_rows|n_members|top1_member_share_pct|top1_member_n|max_member_diff_sum|n_dates|min_date|max_date|top_date_n|top_date_share_pct|n_tables|top_table_share_pct|n_bet09|n_commission|sum_stake|sum_validbet|min_stake|max_stake|verdict_concentration,III 先修粒度
106,VB_41c2_concentration_v2.csv,会员,INVALID,NOT_FOR_DECISION,hiturn（s.x_valid > s.x_stake）,hiturn（s.x_valid > s.x_stake）,123,0,grp|n_rows|n_members|n_dates|n_tables|n_bet09|top1_member_share_pct|top_date_share_pct|top_table_share_pct|top_bet09_share_pct|top_stake_share_pct|st_member|st_date|st_table|st_bet09|st_stake|n_dims_high|n_dims_near_or_high|verdict_concentration|sum_stake,III 先修粒度
107,V_ipmatch.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,b.ip|b.n_member_log|b.country|b.city|in_bet_ip,III 先修粒度
108,V_recon.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,n_matched_round|mae_turnover|mae_rebate|mae_net|scale_turnover|scale_rebate|scale_net|mase_turnover|mase_rebate|mase_net|pct_exact_turnover|pct_exact_net,III 先修粒度
109,V_table_counts.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|行数,III 先修粒度
110,X_combo.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,flag_ip|flag_tail_p90|n_member|valid_bet|game_pnl|roi,III 先修粒度
111,Z01_table_inventory.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|表类型|估计行数|表注释|疑似性质,III 先修粒度
112,Z02_excluded_tables.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|估计行数|表注释|处置,III 先修粒度
113,Z03_column_dictionary.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|列序|列名|存储类型|可空|原始类型|业务含义|原始注释,III 先修粒度
114,Z04_name_collision.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,列名|释义数|类型数|出现表数|风险|明细,III 先修粒度
115,Z05_missing_typehint.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|列序|列名|存储类型|原始注释|状态,III 先修粒度
116,Z06_generated_probe_sql.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,表名|列序|列名|估计行数|待执行SQL,III 先修粒度
117,Z07_probe_bet02.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,t|c|v|n|pct,III 先修粒度
118,Z08_roundkey_integrity.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,注单行数|局键数|单局最大注单行数|单局最大会员数|单局会员数P999|跨桌局键数_应为0|bet03跨桌数|bet03唯一值数|局键含哨兵值行数,III 先修粒度
119,Z09_time_axis_recon.csv,日期,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,行数|dt等于账务日|dt等于下注日|账务日等于下注日|账务日不可用|开局时间不可用|下注时间不可用|下注时间纪元哨兵|开局时间纪元哨兵|账务日最小|账务日最大|下注早于开局_时序异常|下注距开局秒_最小|下注距开局秒_P50|下注距开局秒_P99|下注距开局秒_P999|下注距开局秒_最大,III 先修粒度
120,Z11_sentinel_impact.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,未处置_注单行数|已处置_注单行数|未处置_局键数|已处置_局键数|未处置_会员数|已处置_会员数|未处置_IP数|已处置_IP数|未处置_单局最大会员数|已处置_单局最大会员数|单局最大会员数_差额|剔除行数|剔除占比,III 先修粒度
121,Z14_zero_month_diagnosis.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|bet_month|zero_kind|vb_sum_state|m.n_orders|m.n_rounds_month|m.n_days_month|m.n_tables_month|m.n_vb_null|m.n_vb_blank|m.n_vb_true_zero|m.n_vb_positive|vb_null_share|m.sum_valid_bet|m.sum_stake|m.sum_game_pnl|m.sum_rebate|m.n_order_nocomm|h.n_hedge_rounds|h.n_hedge_eq|h.n_zero_pnl_rounds|hedge_eq_share|verdict_hint,III 先修粒度
122,_P12b-pre.csv,会员,WRONG_GRAIN,NOT_FOR_DECISION,post（s.x_rec = 1）,b.dt>=2026-07-08,123,0,member_id|action|content|action_time,III 先修粒度
123,_PH0_1b_table_inventory.csv,会员,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_name|h_src|f.has_uid|f.has_time|f.has_amount|f.n_cols|table_nature|scope_db|scope_pattern|scope_scanned_at,III 先修粒度
124,_PH0_2b_column_inventory.csv,桌台,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_name|col_pos|column_name|data_type|column_comment|name_style|col_family|fp_flag|scope_db|scope_pattern|scope_scanned_at,III 先修粒度
125,_PH0_3_lmc_category.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,pre_rg（s.x_rec = 1）,b.dt>=2026-07-08,123,0,lmc04_category|n_events|n_target_id|n_operator|dt_min|dt_max|n_in_win|avg_len_content|avg_len_sql|n_content_hit_mem01617|n_sql_hit_mem01617|n_hit_rg_semantics,III 先修粒度
126,_PH0_4L1_member_columns.csv,会员,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,table_name|col_pos|column_name|data_type|column_comment,III 先修粒度
127,_PH0_4b_rg_keyword.csv,全窗/元数据,INVALID,NOT_FOR_DECISION,pre_rg（s.x_rec = 1）,b.dt>=2026-07-08,123,0,lmc04_category|n_events|rg_self_exclusion|rg_cooling_off|rg_responsible|biz_limit|biz_freeze|biz_disable|biz_block|amb_exclude_any|n_in_win,III 先修粒度
128,_PH0_4w2_balance_points.csv,日期,INVALID,NOT_FOR_DECISION,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,dt_slice|n_user_active|n_pts_total|pts_avg|pts_min|pts_p50|pts_p90|pts_p99|pts_max|pts_ok_avg|n_user_single_pt|pct_single_pt,III 先修粒度
129,_PH0_6b_member_daily.csv,会员,OK,PRIMARY,recent（s.x_rec = 1）,b.dt>=2026-07-08,123,0,dt_day|n_rows|n_mem001|rows_per_key|n_enable_N|n_canbet_N,I 可采
